名称,検索キー,所在地,緯度,経度,分類,世界遺産,OSM_ID
仏国寺,ぶっこくじ bulguksa 慶州,韓国 / 慶州,35.79,129.332,temple,yes,
ペトラ遺跡,ぺとら petra,ヨルダン / マアン県,30.3285,35.4444,monument,yes,
イスタンブール歴史地区（アヤソフィア）,あやそふぃあ hagia sophia istanbul,トルコ / イスタンブール,41.0086,28.9802,monument,yes,
カッパドキア,かっぱどきあ cappadocia goreme,トルコ / ネヴシェヒル県,38.6431,34.8289,nature,yes,
コロッセオ,ころっせお colosseum roma,イタリア / ローマ,41.8902,12.4922,monument,yes,
ヴェネツィア,べねちあ venice venezia,イタリア / ヴェネト州,45.4408,12.3155,city,yes,
フィレンツェ歴史地区,ふぃれんつぇ florence firenze,イタリア / トスカーナ州,43.7696,11.2558,city,yes,
ピサの斜塔,ぴさのしゃとう pisa,イタリア / ピサ,43.723,10.3966,monument,yes,
ポンペイ遺跡,ぽんぺい pompeii,イタリア / カンパニア州,40.7497,14.4869,monument,yes,
アマルフィ海岸,あまるふぃ amalfi coast,イタリア / カンパニア州,40.634,14.6027,nature,yes,
ドロミーティ,どろみーてぃ dolomites,イタリア / 南チロル,46.4102,11.844,nature,yes,
サン・ピエトロ大聖堂,ばちかん vatican st peter,バチカン市国,41.9022,12.4539,temple,yes,
サグラダ・ファミリア,さぐらだふぁみりあ sagrada familia barcelona,スペイン / バルセロナ,41.4036,2.1744,temple,yes,
アルハンブラ宮殿,あるはんぶら alhambra granada,スペイン / グラナダ,37.1761,-3.5881,castle,yes,
シントラ,しんとら sintra ペーナ宮殿,ポルトガル / シントラ,38.7876,-9.3904,castle,yes,
ポルト歴史地区,ぽると porto,ポルトガル / ポルト,41.1408,-8.611,city,yes,
モン・サン=ミシェル,もんさんみっしぇる mont saint michel,フランス / ノルマンディー,48.6361,-1.5115,monument,yes,
ヴェルサイユ宮殿,べるさいゆ versailles,フランス / ヴェルサイユ,48.8049,2.1204,castle,yes,
エッフェル塔,えっふぇるとう eiffel tower paris,フランス / パリ,48.8584,2.2945,monument,yes,
ストーンヘンジ,すとーんへんじ stonehenge,イギリス / ウィルトシャー,51.1789,-1.8262,monument,yes,
ロンドン塔,ろんどんとう tower of london,イギリス / ロンドン,51.5081,-0.0759,castle,yes,
ウェストミンスター寺院,うぇすとみんすたー westminster abbey,イギリス / ロンドン,51.4994,-0.1273,temple,yes,
ケルン大聖堂,けるんだいせいどう cologne cathedral,ドイツ / ケルン,50.9413,6.9583,temple,yes,
ノイシュヴァンシュタイン城,のいしゅう゛ぁんしゅたいん neuschwanstein,ドイツ / バイエルン州,47.5576,10.7498,castle,,
シェーンブルン宮殿,しぇーんぶるん schonbrunn vienna,オーストリア / ウィーン,48.1845,16.3122,castle,yes,
ハルシュタット,はるしゅたっと hallstatt,オーストリア / 上オーストリア州,47.5622,13.6493,city,yes,
プラハ歴史地区,ぷらは prague praha,チェコ / プラハ,50.0875,14.4213,city,yes,
ブダペスト ドナウ河岸,ぶだぺすと budapest,ハンガリー / ブダペスト,47.4979,19.0402,city,yes,
ドゥブロヴニク旧市街,どぅぶろう゛にく dubrovnik,クロアチア / ドゥブロヴニク,42.6407,18.1077,city,yes,
アクロポリス（パルテノン神殿）,あくろぽりす acropolis parthenon athens,ギリシャ / アテネ,37.9715,23.7257,monument,yes,
サントリーニ島,さんとりーに santorini,ギリシャ / キクラデス諸島,36.3932,25.4615,nature,,
ブルッヘ歴史地区,ぶるっへ bruges brugge,ベルギー / ブルッヘ,51.2085,3.2247,city,yes,
キンデルダイクの風車群,きんでるだいく kinderdijk,オランダ / 南ホラント州,51.8833,4.64,monument,yes,
ブリッゲン（ベルゲン）,ぶりっげん bryggen bergen,ノルウェー / ベルゲン,60.3975,5.3243,city,yes,
ガイランゲルフィヨルド,がいらんげる geiranger fjord,ノルウェー / モーレ・オ・ロムスダール,62.101,7.0055,nature,yes,
マチュ・ピチュ,まちゅぴちゅ machu picchu,ペルー / クスコ県,-13.1631,-72.545,monument,yes,
チチェン・イッツァ,ちちぇんいっつぁ chichen itza,メキシコ / ユカタン州,20.6829,-88.5686,monument,yes,
自由の女神像,じゆうのめがみ statue of liberty new york,アメリカ / ニューヨーク,40.6892,-74.0445,monument,yes,
グランド・キャニオン国立公園,ぐらんどきゃにおん grand canyon,アメリカ / アリゾナ州,36.1069,-112.1129,nature,yes,
イエローストーン国立公園,いえろーすとーん yellowstone,アメリカ / ワイオミング州,44.428,-110.5885,nature,yes,
ヨセミテ国立公園,よせみて yosemite,アメリカ / カリフォルニア州,37.8651,-119.5383,nature,yes,
バンフ国立公園,ばんふ banff canadian rockies,カナダ / アルバータ州,51.1784,-115.5708,nature,yes,
イグアスの滝,いぐあすのたき iguazu falls,アルゼンチン・ブラジル,-25.6953,-54.4367,nature,yes,
ガラパゴス諸島,がらぱごす galapagos,エクアドル,-0.75,-90.3167,nature,yes,
ラパ・ヌイ（イースター島）,いーすたーとう rapa nui easter island moai,チリ,-27.1127,-109.3497,monument,yes,
ギザのピラミッド,ぴらみっど giza pyramid sphinx,エジプト / ギザ,29.9792,31.1342,monument,yes,
ヴィクトリアの滝,う゛ぃくとりあのたき victoria falls,ザンビア・ジンバブエ,-17.9243,25.8572,nature,yes,
セレンゲティ国立公園,せれんげてぃ serengeti,タンザニア,-2.3333,34.8333,nature,yes,
キリマンジャロ国立公園,きりまんじゃろ kilimanjaro,タンザニア,-3.0674,37.3556,nature,yes,
ウルル（エアーズロック）,うるる uluru ayers rock,オーストラリア / ノーザンテリトリー,-25.3444,131.0369,nature,yes,
グレート・バリア・リーフ,ぐれーとばりありーふ great barrier reef,オーストラリア / クイーンズランド州,-18.2871,147.6992,nature,yes,
白い恋人パーク,白い恋人パーク 札幌市 北海道 museum,日本 / 北海道 札幌市,43.08869,141.27168,museum,,N2422507432
旭山動物園,旭山動物園 旭川市 北海道 zoo,日本 / 北海道 旭川市,43.76864,142.47927,activity,,W267361081
函館朝市,函館朝市 函館市 北海道 marketplace,日本 / 北海道 函館市,41.77224,140.72482,shop,,W1117395054
小樽運河,小樽運河 小樽市 北海道 attraction,日本 / 北海道 小樽市,43.20253,141.00036,monument,,W562432317
五稜郭,五稜郭 函館市 北海道 fort,日本 / 北海道 函館市,41.7968,140.75703,monument,,W180806137
登別温泉,登別温泉町 登別市 北海道 neighbourhood,日本 / 北海道 登別市,42.49478,141.14514,onsen,,N3079572092
ファーム富田,ファーム富田 中富良野町 北海道 attraction,日本 / 北海道 中富良野町,43.41796,142.42779,monument,,N5603040029
札幌市時計台,札幌市時計台 札幌市 北海道 museum,日本 / 北海道 札幌市,43.06255,141.35364,museum,,W64747104
美瑛 青い池,青い池 美瑛町 北海道 pond,日本 / 北海道 美瑛町,43.49349,142.6141,nature,,W303771940
ねぶたの家 ワ・ラッセ,ねぶたの家 ワ・ラッセ 青森市 青森県 museum,日本 / 青森県 青森市,40.82957,140.73595,museum,,W138098524
弘前城,弘前城 弘前市 青森県 castle,日本 / 青森県 弘前市,40.60793,140.46366,castle,,W757850283
奥入瀬渓流,星野リゾート 奥入瀬渓流ホテル 十和田市 青森県 hotel,日本 / 青森県 十和田市,40.57575,140.98095,nature,,N4795307997
三内丸山遺跡,三内丸山遺跡 青森市 青森県 archaeological_site,日本 / 青森県 青森市,40.811,140.69756,heritage,,W651501082
八甲田山,八甲田山雪中行軍遭難資料館 青森市 青森県 museum,日本 / 青森県 青森市,40.78475,140.78971,nature,,N13726805901
蕪島神社,蕪嶋神社 八戸市 青森県 place_of_worship,日本 / 青森県 八戸市,40.53863,141.55762,temple,,N2417938988
青森県立美術館,青森県立美術館 青森市 青森県 museum,日本 / 青森県 青森市,40.80729,140.70089,museum,,N318411516
龍泉洞,龍泉洞 岩泉町 岩手県 memorial,日本 / 岩手県 岩泉町,39.86015,141.79704,heritage,,N5599851050
小岩井農場,小岩井農場重要文化財ギャラリー 滝沢市 岩手県 museum,日本 / 岩手県 滝沢市,39.75158,141.01955,museum,,W559112019
中尊寺,中尊寺 平泉町 岩手県 place_of_worship,日本 / 岩手県 平泉町,39.00094,141.10207,temple,,W1023510974
浄土ヶ浜,浄土ヶ浜 宮古市 岩手県 beach,日本 / 岩手県 宮古市,39.65245,141.97874,nature,,R13708358
盛岡手づくり村,盛岡手づくり村 盛岡市 岩手県 theme_park,日本 / 岩手県 盛岡市,39.69336,141.0244,activity,,N5159998871
花巻温泉,花巻温泉バラ園 花巻市 岩手県 garden,日本 / 岩手県 花巻市,39.45322,141.07,onsen,,W961017086
厳美渓,厳美渓 一関市 岩手県 viewpoint,日本 / 岩手県 一関市,38.94413,141.04756,monument,,N727603646
松島,松島 松島町 宮城県 archipelago,日本 / 宮城県 松島町,38.36706,141.07125,nature,,R6355108
瑞巌寺,瑞巌寺 松島町 宮城県 place_of_worship,日本 / 宮城県 松島町,38.37218,141.05956,temple,,N870453209
仙台城跡,仙台城跡 仙台市 宮城県 board,日本 / 宮城県 仙台市,38.25308,140.85708,castle,,N9974252958
御釜,御釜 蔵王町 宮城県 lake,日本 / 宮城県 蔵王町,38.13643,140.44954,other,,W219619536
秋保大滝,秋保大滝 仙台市 宮城県 waterfall,日本 / 宮城県 仙台市,38.27488,140.60282,nature,,N754652816
鳴子峡,鳴子峡 大崎市 宮城県 viewpoint,日本 / 宮城県 大崎市,38.729,140.68985,nature,,N3500164060
仙台うみの杜水族館,仙台うみの杜水族館 仙台市 宮城県 aquarium,日本 / 宮城県 仙台市,38.27106,140.98047,activity,,R7524795
角館武家屋敷,角館武家屋敷資料館 仙北市 秋田県 information,日本 / 秋田県 仙北市,39.59741,140.56253,other,,N2599247316
田沢湖,田沢湖 仙北市 秋田県 lake,日本 / 秋田県 仙北市,39.72484,140.66327,nature,,R10387454
乳頭温泉郷,乳頭温泉郷 妙乃湯 仙北市 秋田県 hotel,日本 / 秋田県 仙北市,39.80333,140.79769,onsen,,W413533206
なまはげ館,なまはげ館 男鹿市 秋田県 museum,日本 / 秋田県 男鹿市,39.92924,139.76655,museum,,W810700577
男鹿水族館GAO,男鹿水族館 GAO 男鹿市 秋田県 aquarium,日本 / 秋田県 男鹿市,39.94228,139.70445,activity,,W293606115
千秋公園,千秋公園 秋田市 秋田県 park,日本 / 秋田県 秋田市,39.72155,140.12354,park,,W38869780
立石寺,立石寺 山形市 山形県 place_of_worship,日本 / 山形県 山形市,38.31256,140.4374,temple,,W224101452
銀山温泉,銀山温泉 案内所 尾花沢市 山形県 information,日本 / 山形県 尾花沢市,38.57042,140.53007,onsen,,N3489717993
蔵王温泉,蔵王温泉 山形市 山形県 quarter,日本 / 山形県 山形市,38.16793,140.40034,onsen,,N8527320886
鶴岡市立加茂水族館,鶴岡市立加茂水族館 鶴岡市 山形県 attraction,日本 / 山形県 鶴岡市,38.76165,139.7247,activity,,W441363881
出羽三山神社,出羽三山神社 鶴岡市 山形県 memorial,日本 / 山形県 鶴岡市,38.70574,139.96428,temple,,N3051790061
上杉神社,上杉神社 米沢市 山形県 place_of_worship,日本 / 山形県 米沢市,37.90927,140.10406,temple,,N416167900
鶴ヶ城,鶴ヶ城 会津若松市 福島県 attraction,日本 / 福島県 会津若松市,37.48775,139.92979,castle,,N13949372480
大内宿,大内宿 下郷町 福島県 hamlet,日本 / 福島県 下郷町,37.33363,139.86066,city,,N12196700317
五色沼,五色沼 北塩原村 福島県 restaurant,日本 / 福島県 北塩原村,37.65349,140.09009,gourmet,,N2930552992
スパリゾートハワイアンズ,スパリゾートハワイアンズ いわき市 福島県 spa_resort,日本 / 福島県 いわき市,36.99311,140.81572,activity,,W434299320
あぶくま洞,あぶくま洞 田村市 福島県 attraction,日本 / 福島県 田村市,37.34477,140.6729,monument,,N4977184578
塔のへつり,塔のへつり 下郷町 福島県 attraction,日本 / 福島県 下郷町,37.27431,139.90556,monument,,N5915061210
三春滝桜,三春滝桜 (Miharu Takizakura) 三春町 福島県 attraction,日本 / 福島県 三春町,37.40767,140.50008,monument,,N268543275
国営ひたち海浜公園,国営ひたち海浜公園 ひたちなか市 茨城県 park,日本 / 茨城県 ひたちなか市,36.40253,140.59435,park,,R7100484
偕楽園,偕楽園 水戸市 茨城県 garden,日本 / 茨城県 水戸市,36.37514,140.45354,park,,W476016290
袋田の滝,袋田の滝 大子町 茨城県 attraction,日本 / 茨城県 大子町,36.76462,140.40725,nature,,N3913111231
アクアワールド茨城県大洗水族館,アクアワールド茨城県大洗水族館 大洗町 茨城県 aquarium,日本 / 茨城県 大洗町,36.33332,140.59387,activity,,W416524885
牛久大仏,牛久大仏 牛久市 茨城県 artwork,日本 / 茨城県 牛久市,35.98265,140.22025,other,,N332552286
筑波山,筑波山 つくば市 茨城県 memorial,日本 / 茨城県 つくば市,36.21349,140.10113,nature,,N10899197786
大洗磯前神社,大洗磯前神社 大洗町 茨城県 place_of_worship,日本 / 茨城県 大洗町,36.31581,140.58775,temple,,W416524886
日光東照宮,日光東照宮 日光市 栃木県 place_of_worship,日本 / 栃木県 日光市,36.75764,139.59911,temple,yes,W388017091
那須ハイランドパーク,那須ハイランドパーク 那須町 栃木県 theme_park,日本 / 栃木県 那須町,37.06524,139.96428,activity,,W539165026
華厳の滝,華厳の滝 日光市 栃木県 viewpoint,日本 / 栃木県 日光市,36.73823,139.5036,nature,,N4921465854
あしかがフラワーパーク,あしかがフラワーパーク 足利市 栃木県 garden,日本 / 栃木県 足利市,36.31381,139.51984,park,,W140209690
大谷資料館,大谷資料館 宇都宮市 栃木県 museum,日本 / 栃木県 宇都宮市,36.59996,139.82475,museum,,W372455746
鬼怒川温泉,鬼怒川温泉駅 日光市 栃木県 bus_station,日本 / 栃木県 日光市,36.82371,139.71689,onsen,,W428686787
那須どうぶつ王国,那須どうぶつ王国 那須町 栃木県 theme_park,日本 / 栃木県 那須町,37.13205,140.04041,activity,,W618195200
草津温泉,草津温泉 草津町 群馬県 bus_station,日本 / 群馬県 草津町,36.62083,138.59631,onsen,,N13665325559
富岡製糸場,富岡製糸場 富岡市 群馬県 attraction,日本 / 群馬県 富岡市,36.25544,138.88764,monument,yes,W313782668
伊香保温泉,伊香保温泉飲泉所 渋川市 群馬県 drinking_water,日本 / 群馬県 渋川市,36.49186,138.91545,onsen,,N6402120713
吹割の滝,吹割の滝 沼田市 群馬県 attraction,日本 / 群馬県 沼田市,36.70185,139.20712,nature,,N3174003691
群馬サファリパーク,群馬サファリパーク 富岡市 群馬県 zoo,日本 / 群馬県 富岡市,36.22581,138.88506,activity,,N1420713158
榛名神社,榛名神社 高崎市 群馬県 place_of_worship,日本 / 群馬県 高崎市,36.45844,138.85245,temple,,W631522240
谷川岳,谷川岳展望台 みなかみ町 群馬県 viewpoint,日本 / 群馬県 みなかみ町,36.81477,138.94602,nature,,N766785323
川越氷川神社,川越氷川神社 川越市 埼玉県 bicycle_rental,日本 / 埼玉県 川越市,35.92714,139.48878,temple,,N11038331813
鉄道博物館,鉄道博物館 さいたま市 埼玉県 museum,日本 / 埼玉県 さいたま市,35.92173,139.61786,museum,,W30614323
三峯神社,三峯神社 川口市 埼玉県 wayside_shrine,日本 / 埼玉県 川口市,35.78108,139.74701,temple,,N1986819079
ムーミンバレーパーク,ムーミンバレーパーク 飯能市 埼玉県 theme_park,日本 / 埼玉県 飯能市,35.87198,139.32583,activity,,W754175469
長瀞,長瀞 長瀞町 埼玉県 quarter,日本 / 埼玉県 長瀞町,36.09817,139.10783,city,,N8462908786
西武園ゆうえんち,西武園ゆうえんち 所沢市 埼玉県 theme_park,日本 / 埼玉県 所沢市,35.76902,139.44265,activity,,R10341225
国営武蔵丘陵森林公園,国営武蔵丘陵森林公園 滑川町 埼玉県 park,日本 / 埼玉県 滑川町,36.0913,139.36827,park,,R8353182
東京ディズニーランド,東京ディズニーランド 浦安市 千葉県 theme_park,日本 / 千葉県 浦安市,35.63266,139.88142,activity,,W1282875870
鴨川シーワールド,鴨川シーワールド 鴨川市 千葉県 aquarium,日本 / 千葉県 鴨川市,35.11605,140.12054,activity,,N1420743883
成田山新勝寺,成田山新勝寺 成田市 千葉県 religious,日本 / 千葉県 成田市,35.78633,140.31722,temple,,W273746634
マザー牧場,マザー牧場  ＣＡＦＥ＆ＳＯＦＴＣＲＥＡＭ 木更津市 千葉県 ice_cream,日本 / 千葉県 木更津市,35.43537,139.93594,gourmet,,N6377385686
鋸山,鋸山 鋸南町 千葉県 peak,日本 / 千葉県 鋸南町,35.15857,139.82885,nature,,N760291649
犬吠埼灯台,犬吠埼灯台 銚子市 千葉県 board,日本 / 千葉県 銚子市,35.7078,140.86825,other,,N10875701388
ふなばしアンデルセン公園,ふなばしアンデルセン公園 船橋市 千葉県 park,日本 / 千葉県 船橋市,35.76107,140.06106,park,,R2120266
東京スカイツリー,東京スカイツリー 墨田区 東京都 attraction,日本 / 東京都 墨田区,35.71005,139.81071,monument,,W288269147
明治神宮,明治神宮 渋谷区 東京都 place_of_worship,日本 / 東京都 渋谷区,35.67484,139.69963,temple,,W469908925
恩賜上野動物園,恩賜上野動物園 東京都 東京都 zoo,日本 / 東京都 東京都,35.71534,139.7689,activity,,W1065775336
国立科学博物館,国立科学博物館 東京都 東京都 museum,日本 / 東京都 東京都,35.7159,139.77669,museum,,W203960902
三鷹の森ジブリ美術館,三鷹の森ジブリ美術館 三鷹市 東京都 museum,日本 / 東京都 三鷹市,35.69617,139.57063,museum,,W155535768
東京都庁舎,東京都庁 新宿区 東京都 townhall,日本 / 東京都 新宿区,35.68974,139.693,other,,R11045959
鶴岡八幡宮,鶴岡八幡宮 鎌倉市 神奈川県 attraction,日本 / 神奈川県 鎌倉市,35.32605,139.55639,temple,,N12176453331
彫刻の森美術館,彫刻の森美術館 箱根町 神奈川県 museum,日本 / 神奈川県 箱根町,35.24428,139.05208,museum,,N5182750902
横浜赤レンガ倉庫,横浜赤レンガ倉庫 横浜市 神奈川県 attraction,日本 / 神奈川県 横浜市,35.4524,139.64292,monument,,N10216454044
江の島,江の島 藤沢市 神奈川県 islet,日本 / 神奈川県 藤沢市,35.30011,139.48064,nature,,W191655339
カップヌードルミュージアム,カップヌードルミュージアムパーク 横浜市 神奈川県 park,日本 / 神奈川県 横浜市,35.45594,139.6398,park,,W36238131
箱根神社,箱根神社 箱根町 神奈川県 place_of_worship,日本 / 神奈川県 箱根町,35.20397,139.02558,temple,,W553740875
横浜・八景島シーパラダイス,横浜・八景島シーパラダイス 横浜市 神奈川県 theme_park,日本 / 神奈川県 横浜市,35.3365,139.64578,activity,,W314206942
大涌谷,大涌谷 箱根町 神奈川県 valley,日本 / 神奈川県 箱根町,35.24741,139.02421,nature,,W727045804
佐渡金山,佐渡山 燕市 新潟県 neighbourhood,日本 / 新潟県 燕市,37.71641,138.91708,nature,,N8670959738
清津峡,清津峡 十日町市 新潟県 board,日本 / 新潟県 十日町市,36.98634,138.74415,nature,,N9960684511
越後湯沢温泉,越後湯沢 湯沢町 新潟県 station,日本 / 新潟県 湯沢町,36.93588,138.80942,onsen,,N3548915150
ぽんしゅ館,ぽんしゅ館 新潟市 新潟県 theme_park,日本 / 新潟県 新潟市,37.91104,139.06085,activity,,N4681885486
苗場スキー場,苗場スキー場 湯沢町 新潟県 winter_sports,日本 / 新潟県 湯沢町,36.79502,138.77876,activity,,W952129313
彌彦神社,彌彦神社 弥彦村 新潟県 place_of_worship,日本 / 新潟県 弥彦村,37.70691,138.82622,temple,,W1087657871
星峠の棚田,星峠の棚田 上越市 新潟県 viewpoint,日本 / 新潟県 上越市,37.12985,138.52705,nature,,N5759881838
黒部ダム,黒部ダム 立山町 富山県 bus_station,日本 / 富山県 立山町,36.56706,137.66641,other,,N2619428773
五箇山,五箇山荘 南砺市 富山県 hotel,日本 / 富山県 南砺市,36.40994,136.93357,nature,,W1342700019
富山県美術館,富山県美術館 富山市 富山県 museum,日本 / 富山県 富山市,36.71085,137.21018,museum,,W522869869
雨晴海岸,雨晴海岸 高岡市 富山県 viewpoint,日本 / 富山県 高岡市,36.81873,137.03496,nature,,N4320444193
瑞龍寺,瑞龍寺 高岡市 富山県 place_of_worship,日本 / 富山県 高岡市,36.7356,137.01054,temple,,N2493399308
富岩運河環水公園,富岩運河環水公園 富山市 富山県 park,日本 / 富山県 富山市,36.7097,137.2123,park,,W338875394
宇奈月温泉,宇奈月温泉 黒部市 富山県 quarter,日本 / 富山県 黒部市,36.81613,137.58281,onsen,,N8727385389
兼六園,兼六園 金沢市 石川県 park,日本 / 石川県 金沢市,36.56243,136.66235,park,,W50288147
ひがし茶屋街,ひがし茶屋街 金沢市 石川県 attraction,日本 / 石川県 金沢市,36.57256,136.66668,monument,,N2146147848
金沢21世紀美術館,金沢21世紀美術館 金沢市 石川県 bicycle_rental,日本 / 石川県 金沢市,36.56148,136.6574,museum,,W929083364
近江町市場,近江町市場 金沢市 石川県 parking,日本 / 石川県 金沢市,36.57128,136.65743,shop,,N2143408613
千里浜なぎさドライブウェイ,千里浜なぎさドライブウェイ 宝達志水町 石川県 track,日本 / 石川県 宝達志水町,36.87914,136.76211,other,,W34960665
和倉温泉,和倉温泉湯っ足りパーク 七尾市 石川県 park,日本 / 石川県 七尾市,37.08743,136.92407,onsen,,W289203591
白米千枚田,白米千枚田 輪島市 石川県 attraction,日本 / 石川県 輪島市,37.4257,136.99903,monument,,N6417776188
福井県立恐竜博物館,福井県立恐竜博物館 勝山市 福井県 museum,日本 / 福井県 勝山市,36.0823,136.50657,museum,,N1420949543
東尋坊,東尋坊 坂井市 福井県 viewpoint,日本 / 福井県 坂井市,36.23789,136.12565,monument,,N661995668
永平寺,永平寺 永平寺町 福井県 place_of_worship,日本 / 福井県 永平寺町,36.05571,136.35602,temple,,W685100415
一乗谷朝倉氏遺跡,一乗谷朝倉氏遺跡 福井市 福井県 board,日本 / 福井県 福井市,36.00892,136.30076,heritage,,N6702072613
越前松島水族館,越前松島水族館 坂井市 福井県 museum,日本 / 福井県 坂井市,36.25265,136.14668,activity,,N1420949924
芦原温泉,芦原温泉 あわら市 福井県 station,日本 / 福井県 あわら市,36.2146,136.23506,onsen,,N4921417492
気比神宮,気比神宮 敦賀市 福井県 traffic_signals,日本 / 福井県 敦賀市,35.65416,136.0733,temple,,N413450889
富士急ハイランド,富士急ハイランド 富士吉田市 山梨県 theme_park,日本 / 山梨県 富士吉田市,35.485,138.77793,activity,,W436975530
忍野八海,忍野八海 忍野村 山梨県 attraction,日本 / 山梨県 忍野村,35.46024,138.8327,monument,,N4717364293
河口湖,河口湖 富士河口湖町 山梨県 lake,日本 / 山梨県 富士河口湖町,35.51306,138.74482,nature,,R2313174
昇仙峡,昇仙峡 甲府市 山梨県 place_of_worship,日本 / 山梨県 甲府市,35.7459,138.56749,nature,,N4159240797
武田神社,武田神社 甲府市 山梨県 memorial,日本 / 山梨県 甲府市,35.68571,138.57701,temple,,N5214228415
ほったらかし温泉,ほったらかし温泉 山梨市 山梨県 public_bath,日本 / 山梨県 山梨市,35.70629,138.65212,onsen,,N3078012809
山中湖,山中湖 山中湖村 山梨県 lake,日本 / 山梨県 山中湖村,35.41866,138.87683,nature,,R9440752
松本城,松本城 松本市 長野県 museum,日本 / 長野県 松本市,36.23864,137.96887,castle,,W300077872
地獄谷野猿公苑,地獄谷野猿公苑 山ノ内町 長野県 zoo,日本 / 長野県 山ノ内町,36.73281,138.46232,activity,,W1234130305
上高地,上高地 松本市 長野県 attraction,日本 / 長野県 松本市,36.24624,137.63554,monument,,N165005871
善光寺,善光寺 長野市 長野県 place_of_worship,日本 / 長野県 長野市,36.66142,138.18766,temple,,W220401982
諏訪大社,諏訪大社 諏訪市 長野県 attraction,日本 / 長野県 諏訪市,36.01969,138.13123,temple,,W1202688470
白馬八方尾根,白馬八方尾根 白馬村 長野県 winter_sports,日本 / 長野県 白馬村,36.70356,137.82262,activity,,W771668333
軽井沢プリンスショッピングプラザ,軽井沢・プリンスショッピングプラザ 軽井沢町 長野県 mall,日本 / 長野県 軽井沢町,36.33916,138.63311,shop,,W536855652
白川郷,白川郷 白川村 岐阜県 attraction,日本 / 岐阜県 白川村,36.25735,136.90683,monument,,N683765481
高山陣屋,高山陣屋 高山市 岐阜県 museum,日本 / 岐阜県 高山市,36.13969,137.25762,museum,,W240742820
下呂温泉,下呂温泉合掌村 下呂市 岐阜県 museum,日本 / 岐阜県 下呂市,35.80847,137.24995,onsen,,N1420976068
郡上八幡城,郡上八幡城 郡上市 岐阜県 museum,日本 / 岐阜県 郡上市,35.75308,136.96145,castle,,W585995159
養老の滝,養老の滝 養老町 岐阜県 cliff,日本 / 岐阜県 養老町,35.28038,136.53421,nature,,N7994995627
モネの池,モネの池 関市 岐阜県 pond,日本 / 岐阜県 関市,35.65179,136.82136,nature,,W454305258
馬籠宿,馬籠宿 中津川市 岐阜県 attraction,日本 / 岐阜県 中津川市,35.52655,137.56748,monument,,N10914014076
三保松原,三保松原町 静岡市 静岡県 quarter,日本 / 静岡県 静岡市,34.99586,138.51893,city,,N9393537103
日本平,日本平 静岡市 静岡県 memorial,日本 / 静岡県 静岡市,34.97673,138.46662,heritage,,N6089414517
夢の吊橋,夢の吊橋 川根本町 静岡県 yes,日本 / 静岡県 川根本町,35.1811,138.1122,other,,W126450135
修善寺温泉,修善寺温泉;筥湯 伊豆市 静岡県 public_bath,日本 / 静岡県 伊豆市,34.97055,138.92839,onsen,,W548862739
うなぎパイファクトリー,うなぎパイファクトリー 浜松市 静岡県 attraction,日本 / 静岡県 浜松市,34.71497,137.65671,monument,,N7260861476
